graduate_course,course_type,couse_name,professor,major,course_code,time,max_enrollment,total_enrollment,credit,department
[대학원],[논문],대학원논문연구,,음악과(국악전공),661.803(004),,10,0,3,
[대학원],[논문],대학원논문연구,김연상,화학생물공학부,458.803(004),,20,0,3,
[대학원],[논문],대학원논문연구,,음악과(국악전공),661.803(005),,10,0,3,
[대학원],[논문],대학원논문연구,김재정,화학생물공학부,458.803(005),,20,0,3,
[대학원],[논문],대학원논문연구,,음악과(국악전공),661.803(006),,10,0,3,
[대학원],[논문],대학원논문연구,백승렬,화학생물공학부,458.803(006),,20,0,3,
[대학원],[논문],대학원논문연구,성영은,화학생물공학부,458.803(007),,20,0,3,
[대학원],[논문],대학원논문연구,,음악과(국악전공),661.803(007),,10,0,3,
[대학원],[논문],대학원논문연구,이청원,건설환경공학부,457.803(008),,15,0,3,
[대학원],[논문],대학원논문연구,안경현,화학생물공학부,458.803(008),,20,0,3,
[대학원],[논문],대학원논문연구,고희동,건설환경공학부,457.803(009),,10,0,3,
[대학원],[논문],대학원논문연구,오준학,화학생물공학부,458.803(009),,20,0,3,
[대학원],[논문],대학원논문연구,김호경,건설환경공학부,457.803(010),,10,0,3,
[대학원],[논문],대학원논문연구,윤제용,화학생물공학부,458.803(010),,20,0,3,
[대학원],[논문],대학원논문연구,문주혁,건설환경공학부,457.803(011),,20,0,3,
[대학원],[논문],대학원논문연구,이규태,화학생물공학부,458.803(011),,20,0,3,
[대학원],[논문],대학원논문연구,송준호,건설환경공학부,457.803(012),,10,0,3,
[대학원],[논문],대학원논문연구,이종민,화학생물공학부,458.803(012),,20,0,3,
[대학원],[논문],대학원논문연구,채윤병,건설환경공학부,457.803(013),,10,0,3,
[대학원],[논문],대학원논문연구,이종찬,화학생물공학부,458.803(013),,20,0,3,
[대학원],[논문],대학원논문연구,강준석,건설환경공학부,457.803(014),,10,0,3,
[대학원],[논문],대학원논문연구,이창하,화학생물공학부,458.803(014),,20,0,3,
[대학원],[논문],대학원논문연구,김성우,건설환경공학부,457.803(015),,10,0,3,
[대학원],[논문],대학원논문연구,박윤미,건설환경공학부,457.803(016),,10,0,3,
[대학원],[논문],대학원논문연구,Van Thinh Nguyen,건설환경공학부,457.803(017),,10,0,3,
[대학원],[논문],대학원논문연구,김영오,건설환경공학부,457.803(018),,10,0,3,
[대학원],[논문],대학원논문연구,양수현,건설환경공학부,457.803(019),,10,0,3,
[대학원],[논문],대학원논문연구,김영선,음악과(이론·음악학전공),657.803(019),,10,0,3,
[대학원],[논문],대학원논문연구,황진환,건설환경공학부,457.803(020),,10,0,3,
[대학원],[논문],대학원논문연구,오희숙,음악과(이론·음악학전공),657.803(020),,10,0,3,
[대학원],[논문],대학원논문연구,김성렬,건설환경공학부,457.803(021),,10,0,3,
[대학원],[논문],대학원논문연구,정충기,건설환경공학부,457.803(022),,10,0,3,
[대학원],[논문],대학원논문연구,박준범,건설환경공학부,457.803(023),,10,0,3,
[대학원],[논문],대학원논문연구,CHOE JONG KWON,건설환경공학부,457.803(024),,20,0,3,
[대학원],[논문],대학원논문연구,남경필,건설환경공학부,457.803(025),,10,0,3,
[대학원],[논문],대학원논문연구,박주영,건설환경공학부,457.803(026),,10,0,3,
[대학원],[논문],대학원논문연구,이지수,음악과(이론·음악학전공),657.803(032),,10,0,3,
[대학원],[논문],대학원논문연구,서정은,음악과(이론·음악학전공),657.803(048),,10,0,3,
[대학원],[논문],대학원논문연구,이신우,음악과(작곡·지휘전공),657.803(049),,0,0,3,
[대학원],[논문],대학원논문연구,전상직,음악과(작곡·지휘전공),657.803(050),,0,0,3,
[대학원],[논문],대학원논문연구,최우정,음악과(작곡·지휘전공),657.803(051),,0,0,3,
[대학원],[논문],대학원논문연구,김규동,음악과(작곡·지휘전공),657.803(052),,0,0,3,
[대학원],[논문],대학원논문연구,임종우,음악과(작곡·지휘전공),657.803(053),,0,0,3,
[대학원],[논문],대학원논문연구,Sebastian Claren,음악과(작곡·지휘전공),657.803(054),,0,0,3,
[대학원],[논문],대학원논문연구,장윤성,음악과(작곡·지휘전공),657.803(055),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(관현악전공),657.803(061),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(관현악전공),657.803(062),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(관현악전공),657.803(063),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(관현악전공),657.803(064),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(관현악전공),657.803(065),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(066),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(067),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(068),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(069),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(070),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(071),,0,0,3,
[대학원],[논문],대학원논문연구,,음악과(피아노전공),657.803(072),,0,0,3,
[대학원],[논문],대학원논문연구,전승현,음악과(성악전공),657.803(075),,5,0,3,
[대학원],[논문],대학원논문연구,박미혜,음악과(성악전공),657.803(074),,5,0,3,
[대학원],[논문],대학원논문연구,서혜연,음악과(성악전공),657.803(073),,10,0,3,
[대학원],[논문],대학원논문연구,Zoran Todorovic,음악과(성악전공),657.803(078),,5,0,3,
[대학원],[논문],대학원논문연구,윤태현,음악과(성악전공),657.803(077),,5,0,3,
[대학원],[논문],대학원논문연구,박미자,음악과(성악전공),657.803(076),,5,0,3,
[대학원],[논문],대학원논문연구,Vargas Aguilar Ramon Arturo,음악과(성악전공),657.803(080),,5,0,3,
[대학원],[논문],대학원논문연구,Vesselina Ivanova Kazarova,음악과(성악전공),657.803(079),,5,0,3,
[학사],[전선],무기 및 재료화학,정인,화학생물공학부,458.311A(001),월(14:00~15:15) 수(14:00~15:15),60,0,3,
[학사],[전선],물리화학 2,류재윤,화학생물공학부,458.202(001),월(09:30~10:45) 수(09:30~10:45),60,0,3,
[학사],[전선],물리화학 2,이건희,화학생물공학부,458.202(002),월(09:30~10:45) 수(09:30~10:45),60,0,3,
[대학원],[전선],물질전달,윤태준,화학생물공학부,458.612(001),월(15:30~16:45) 수(15:30~16:45),40,0,3,
[대학원],[전필],박사과정연주회,오희숙,음악과,657.715(001),,60,0,1,
[학사],[전선],반응공학 2,김병수,화학생물공학부,458.402(001),월(15:30~16:45) 수(15:30~16:45),50,0,3,
[학사],[전선],분리공정,홍무선,화학생물공학부,458.407(001),화(14:00~15:15) 목(14:00~15:15),50,0,3,
[학사],[전선],분자생물공학,서상우,화학생물공학부,458.410(001),월(09:30~10:45) 수(09:30~10:45),50,0,3,
[대학원],[전선],분자열역학,윤태준,화학생물공학부,458.602(001),화(14:00~15:15) 목(14:00~15:15),40,0,3,
[학사],[전선],독일어권의 문학과 예술,조성희,독어독문학과,100.120A(001),월(11:00~12:15) 수(11:00~12:15),30,0,3,
[학사],[전선],동남아시아문명의 이해,서지원,아시아언어문명학부,100.170(002),화(11:00~12:15) 목(11:00~12:15),20,0,3,
[학사],[전선],미술사와 시각문화,신준형,고고미술사학과(미술사학전공),100.160(001),금(13:30~16:20),30,0,3,
[학사],[전선],동남아시아 디아스포라의 과거와 현재-지역과 세계,김지현,아시아언어문명학부,1003.352(002),목(12:30~13:45) 목(14:00~15:15),20,0,3,
[학사],[전선],동남아시아 문학 특강,,아시아언어문명학부,1003.254(002),수(12:30~13:45) 수(14:00~15:15),20,0,3,
[학사],[전선],말레이-인도네시아어 강독 2,이주영,아시아언어문명학부,1003.354(002),화(17:00~18:15) 목(17:00~18:15),20,0,3,
[학사],[전선],베트남어 강독 2,이현정,아시아언어문명학부,1003.455(002),월(14:00~15:15) 월(15:30~16:45),20,0,3,
[대학원],[논문],대학원논문연구,정승철,국어국문학과,101.803(005),,20,0,3,
[대학원],[논문],대학원논문연구,정병설,국어국문학과,101.803(008),,20,0,3,
[대학원],[논문],대학원논문연구,김유중,국어국문학과,101.803(006),,20,0,3,
[대학원],[논문],대학원논문연구,방민호,국어국문학과,101.803(007),,20,0,3,
[대학원],[논문],대학원논문연구,La Shure Charles,국어국문학과,101.803(015),,20,0,3,
[대학원],[논문],대학원논문연구,문숙영,국어국문학과,101.803(013),,20,0,3,
[대학원],[논문],대학원논문연구,황선엽,국어국문학과,101.803(012),,20,0,3,
[대학원],[논문],대학원논문연구,김종욱,국어국문학과,101.803(009),,20,0,3,
